uhf,neighborhood_name,year,quarter,er_visits,air_quality,asbestos,covid,electrical,food,garbage,homelessness,medical,mold,mosquitoes,rodent,safety,sewer,smoking,water_plumbing,felonies,misdemeanors,violations
306,"Chelsea - Clinton",2022,1,192,1633,16,205,91,336,1544,423,36,3,0,177,162,71,101,2181,1962,2696,607
306,"Chelsea - Clinton",2022,2,188,942,18,1,74,501,1265,1177,19,3,2,247,103,117,91,1115,2459,3260,741
306,"Chelsea - Clinton",2022,3,154,894,10,1,111,376,1488,1902,28,6,1,284,117,99,106,1036,2531,3315,703
306,"Chelsea - Clinton",2022,4,173,959,14,0,77,469,1491,1061,55,12,0,165,121,69,121,2529,1631,2249,451
309,"Union Square - Lower East Side",2022,1,228,65,1,101,91,130,1479,252,24,0,0,169,131,72,38,3287,1230,2395,458
309,"Union Square - Lower East Side",2022,2,244,80,9,0,76,171,1037,416,32,1,0,292,123,72,27,1133,1382,2819,560
309,"Union Square - Lower East Side",2022,3,174,67,19,0,92,204,1413,540,34,1,1,280,156,66,24,931,1478,2614,491
309,"Union Square - Lower East Side",2022,4,294,51,10,0,58,170,1123,434,32,1,1,227,140,49,36,2317,779,1464,335
310,"Lower Manhattan",2022,1,76,11,2,54,49,96,312,109,10,1,0,23,82,12,5,375,261,701,135
310,"Lower Manhattan",2022,2,53,18,0,0,17,106,157,280,9,2,0,47,19,26,8,151,284,812,119
310,"Lower Manhattan",2022,3,55,8,7,0,12,129,214,257,4,2,1,48,36,30,0,162,284,775,116
310,"Lower Manhattan",2022,4,51,25,1,0,18,141,192,212,10,3,0,42,29,9,3,309,144,570,70
307,"Gramercy Park - Murray Hill",2022,1,63,53,11,104,46,123,838,248,16,1,0,65,82,52,12,1156,766,1035,261
307,"Gramercy Park - Murray Hill",2022,2,70,62,14,0,41,136,640,440,22,2,1,114,78,62,12,770,881,1118,272
307,"Gramercy Park - Murray Hill",2022,3,76,37,21,0,40,170,775,611,15,3,1,103,86,53,9,528,832,1176,284
307,"Gramercy Park - Murray Hill",2022,4,95,45,7,0,40,167,584,463,20,3,0,75,57,39,13,1217,550,677,169
308,"Greenwich Village - Soho",2022,1,22,31,6,88,38,142,1215,162,18,0,0,116,72,38,3,1077,785,948,198
308,"Greenwich Village - Soho",2022,2,32,58,10,0,36,157,783,309,14,4,1,172,61,71,11,599,972,1146,205
308,"Greenwich Village - Soho",2022,3,20,54,7,0,37,188,922,436,7,2,1,180,58,52,4,433,1063,1219,189
308,"Greenwich Village - Soho",2022,4,20,48,6,0,42,154,953,259,16,2,0,130,65,51,4,1144,570,783,119
305,"Upper East Side",2022,1,91,73,15,115,45,46,953,86,17,2,0,159,120,19,20,1201,376,795,138
305,"Upper East Side",2022,2,82,58,11,0,34,101,539,177,34,1,0,288,56,36,49,530,509,962,173
305,"Upper East Side",2022,3,94,54,16,0,43,92,654,317,13,0,0,268,87,38,45,455,533,1016,172
305,"Upper East Side",2022,4,110,88,11,0,88,122,648,204,22,1,1,156,129,38,25,1562,278,645,99
304,"Upper West Side",2022,1,137,84,13,85,97,106,1805,319,24,0,1,493,167,59,21,2908,705,1195,303
304,"Upper West Side",2022,2,161,183,15,0,76,151,1140,462,21,2,8,617,121,59,31,1194,811,1280,357
304,"Upper West Side",2022,3,119,102,14,0,139,183,1224,824,20,1,4,691,162,57,14,1007,863,1285,342
304,"Upper West Side",2022,4,169,125,13,0,160,131,1094,411,28,2,0,369,184,45,29,3305,445,714,219
302,"Central Harlem - Morningside Heights",2022,1,754,31,9,30,280,103,2206,74,12,0,0,450,164,47,22,7057,1205,1808,630
302,"Central Harlem - Morningside Heights",2022,2,932,45,12,0,225,118,1953,140,12,3,2,543,170,91,31,2560,1314,1926,637
302,"Central Harlem - Morningside Heights",2022,3,788,48,13,0,256,100,2532,161,9,1,11,570,205,133,25,1957,1273,1882,614
302,"Central Harlem - Morningside Heights",2022,4,968,54,12,0,293,73,2173,117,17,1,0,404,209,45,56,6668,833,1252,383
303,"East Halem",2022,1,562,10,4,20,115,27,836,49,10,2,0,297,69,41,14,2514,1079,1813,543
303,"East Halem",2022,2,571,25,6,0,82,44,629,139,7,0,0,399,73,43,41,1048,1270,2151,610
303,"East Halem",2022,3,447,32,3,1,105,35,774,206,6,0,0,414,82,44,10,971,1276,2090,542
303,"East Halem",2022,4,562,25,6,0,98,54,716,103,2,0,0,343,70,33,14,2201,720,1273,365
301,"Washington Heights - Inwood",2022,1,406,73,9,33,459,76,2206,75,59,1,0,498,262,34,174,11978,1214,2210,534
301,"Washington Heights - Inwood",2022,2,475,55,21,0,331,112,1762,150,22,0,0,481,219,63,170,4457,1294,2325,643
301,"Washington Heights - Inwood",2022,3,386,54,16,0,523,90,2370,154,45,7,3,442,244,96,80,4993,1264,2294,647
301,"Washington Heights - Inwood",2022,4,412,65,10,1,433,46,2134,82,19,2,0,340,213,59,74,11402,802,1401,439
NULL,NULL,2022,2,17,52,10,0,66,81,521,238,21,3,0,131,37,56,4,502,456,616,156
NULL,NULL,2022,3,27,26,6,1,54,86,561,353,19,2,0,187,54,65,6,511,556,666,181
NULL,NULL,2022,4,20,42,5,0,60,86,507,215,24,3,0,95,58,45,7,906,493,501,110
NULL,NULL,2022,1,22,41,14,40,37,47,752,113,24,2,0,81,56,40,14,929,357,596,162
502,"Stapleton - St. George",2022,1,501,14,2,19,97,31,2349,17,8,0,0,71,58,243,6,1508,393,712,382
502,"Stapleton - St. George",2022,2,514,23,2,1,69,27,1488,24,5,1,3,118,72,310,13,883,492,897,429
502,"Stapleton - St. George",2022,3,462,21,0,0,99,42,1859,20,10,0,3,170,69,213,2,922,579,1135,464
502,"Stapleton - St. George",2022,4,538,24,7,0,109,19,1835,13,8,1,0,61,51,209,11,1643,561,1095,429
501,"Port Richmond",2022,1,435,31,6,17,48,25,1340,6,4,1,0,56,42,156,1,693,323,579,259
501,"Port Richmond",2022,2,456,28,2,0,43,21,1002,9,5,2,0,94,35,165,0,524,315,641,272
501,"Port Richmond",2022,3,437,14,5,0,58,22,1043,18,2,0,3,80,43,132,2,611,322,728,274
501,"Port Richmond",2022,4,464,8,6,0,63,13,967,6,7,0,0,36,41,164,1,747,296,630,253
504,"South Beach - Tottenville",2022,1,126,17,3,83,45,31,5428,11,15,3,0,64,58,420,3,1402,357,701,262
504,"South Beach - Tottenville",2022,2,135,23,3,0,44,49,3314,21,15,2,26,178,50,638,2,1119,375,789,367
504,"South Beach - Tottenville",2022,3,101,36,3,0,71,48,3560,39,13,4,7,182,86,469,4,1205,401,891,316
504,"South Beach - Tottenville",2022,4,142,19,2,0,91,32,3660,41,17,3,0,71,92,409,5,1316,429,888,300
503,Willowbrook,2022,1,99,14,4,42,15,24,1837,5,2,2,0,15,29,158,2,426,233,432,153
503,Willowbrook,2022,2,108,9,4,0,12,32,1190,12,5,2,2,53,23,209,5,345,207,500,192
503,Willowbrook,2022,3,106,11,4,0,32,19,1205,7,3,2,2,51,31,166,1,444,218,460,162
503,Willowbrook,2022,4,118,18,2,0,44,29,1355,15,1,2,0,20,30,202,2,528,203,439,166
106,"High Bridge",2022,1,762,33,13,26,453,68,2440,32,5,1,0,273,274,84,31,9741,1636,2168,882
106,"High Bridge",2022,2,936,34,3,0,364,69,2552,101,4,2,2,347,236,103,25,4095,1895,2454,926
106,"High Bridge",2022,3,739,13,11,0,534,60,2976,169,8,4,2,327,222,174,14,5007,1943,2521,752
106,"High Bridge",2022,4,975,39,8,0,426,53,2710,83,5,1,0,264,199,69,48,9370,1751,2439,735
105,Crotona,2022,1,795,20,3,9,476,44,2570,16,4,1,0,250,274,84,39,11565,1377,2052,850
105,Crotona,2022,2,878,15,13,0,386,52,2127,35,3,0,1,274,220,123,24,4376,1514,2247,930
105,Crotona,2022,3,768,24,12,0,494,62,2533,43,11,1,2,280,169,186,28,4096,1569,2465,806
105,Crotona,2022,4,1115,15,8,0,408,36,2460,27,8,3,0,238,196,90,58,9254,1428,2370,794
107,"Hunts Point",2022,1,444,13,1,30,248,45,1521,19,6,3,0,229,147,80,17,5112,1289,1775,647
107,"Hunts Point",2022,2,609,23,9,0,197,45,1381,41,3,1,2,266,145,100,17,2088,1440,2120,701
107,"Hunts Point",2022,3,511,19,3,0,296,60,1713,38,8,1,6,214,129,128,5,2180,1477,2068,655
107,"Hunts Point",2022,4,634,10,3,0,243,50,1374,32,5,0,0,165,102,86,17,4991,1408,2018,658
103,Fordham,2022,1,633,61,9,20,504,45,2769,54,5,1,0,329,281,107,33,13698,1164,1613,642
103,Fordham,2022,2,680,33,7,0,416,70,2685,100,13,2,0,371,269,103,23,4471,1368,1896,751
103,Fordham,2022,3,725,27,15,0,647,75,3296,147,11,5,2,362,248,203,14,4404,1550,1978,708
103,Fordham,2022,4,963,33,10,0,589,65,2782,71,11,0,0,304,244,104,26,12155,1446,2064,700
104,Pelham,2022,1,513,37,8,42,316,65,2803,24,13,3,0,176,219,311,27,8024,1567,2042,784
104,Pelham,2022,2,652,57,10,0,222,105,1924,29,11,0,5,305,149,373,24,3180,1647,2445,909
104,Pelham,2022,3,524,64,9,0,311,102,2659,52,5,2,12,368,163,822,23,2945,1833,2410,936
104,Pelham,2022,4,734,28,9,0,298,76,2038,31,17,2,2,280,145,236,37,9292,1842,2392,833
101,Kingsbridge,2022,1,107,21,8,24,104,19,708,34,11,0,0,104,66,44,9,2947,463,723,205
101,Kingsbridge,2022,2,138,18,6,0,49,15,563,30,11,0,0,159,42,85,3,1026,467,825,240
101,Kingsbridge,2022,3,125,27,2,0,70,32,694,25,17,1,3,133,58,113,1,948,456,781,255
101,Kingsbridge,2022,4,99,10,4,0,70,17,518,11,9,2,0,86,48,46,12,2398,445,688,199
102,"Northeast Bronx",2022,1,379,12,5,27,181,47,1877,7,7,3,0,89,101,175,12,3654,1092,2007,555
102,"Northeast Bronx",2022,2,495,27,4,0,135,52,1493,15,6,0,0,162,93,391,7,1601,1129,1923,638
102,"Northeast Bronx",2022,3,494,20,4,0,224,61,1805,29,2,0,7,160,110,558,6,1660,1108,1821,639
102,"Northeast Bronx",2022,4,595,6,5,0,195,26,1509,33,5,0,0,111,71,235,8,3739,1034,1433,605
409,"Southeast Queens",2022,1,166,20,5,18,110,38,2494,6,10,1,0,69,60,463,7,1372,673,1003,328
409,"Southeast Queens",2022,2,214,27,3,0,51,40,1160,22,9,1,1,94,55,572,3,907,689,1140,462
409,"Southeast Queens",2022,3,185,32,5,0,79,61,1369,34,9,1,18,119,62,487,2,813,792,1146,475
409,"Southeast Queens",2022,4,259,13,3,0,140,33,1416,13,4,1,0,44,48,500,4,1318,695,1128,446
