zip,er_visits,year,quarter,air_quality,asbestos,covid,electrical,food,garbage,homelessness,medical,mold,mosquitoes,rodent,safety,sewer,smoking,water_plumbing,felonies,misdemeanors,violations
10001,NULL,2022,1,9,7,39,5,172,213,98,5,1,0,15,23,20,0,276,493,711,134
10001,NULL,2022,2,14,0,1,2,235,177,146,2,1,1,59,19,21,1,147,590,751,156
10001,NULL,2022,3,7,2,1,10,70,193,157,5,1,1,50,12,25,5,172,713,821,178
10001,NULL,2022,4,14,1,0,5,71,186,90,8,2,0,22,20,16,3,304,426,666,113
10002,105,2022,1,12,1,30,12,62,441,71,6,0,0,56,43,34,9,1431,510,1147,249
10002,95,2022,2,21,1,0,22,61,317,112,12,0,0,81,44,25,7,332,576,1220,275
10002,75,2022,3,25,7,0,43,53,374,161,10,1,0,78,53,17,8,286,687,1117,235
10002,148,2022,4,22,4,0,13,58,336,179,9,0,0,61,52,24,18,644,317,608,171
10003,24,2022,1,26,0,42,37,47,544,124,9,0,0,36,46,22,24,842,387,664,84
10003,31,2022,2,32,3,0,26,67,387,155,6,1,0,84,38,27,11,403,463,895,120
10003,20,2022,3,24,11,0,20,97,583,243,10,0,1,104,43,20,8,293,404,852,101
10003,34,2022,4,15,5,0,13,86,452,122,16,1,0,94,38,19,6,773,250,503,71
10004,NULL,2022,1,1,0,12,4,11,15,18,0,0,0,1,2,1,1,13,23,43,15
10004,NULL,2022,2,1,0,0,6,14,16,28,1,0,0,2,5,3,0,18,24,51,21
10004,NULL,2022,3,2,1,0,5,32,18,59,0,0,0,6,0,1,0,14,40,51,14
10004,NULL,2022,4,2,0,0,8,15,34,27,1,1,0,8,6,2,0,30,26,43,9
10005,NULL,2022,1,2,0,14,11,4,27,18,1,0,0,3,11,0,0,19,111,210,52
10005,NULL,2022,2,1,0,0,2,13,19,45,1,0,0,5,3,2,2,11,101,281,38
10005,NULL,2022,3,0,0,0,3,9,42,45,1,1,0,3,5,1,0,16,67,176,23
10005,NULL,2022,4,0,0,0,2,6,17,29,0,0,0,5,3,1,0,12,24,114,12
10006,NULL,2022,1,1,0,2,0,5,18,2,1,0,0,1,2,2,1,39,18,46,2
10006,NULL,2022,2,2,0,0,0,12,9,7,0,0,0,13,1,2,3,16,14,42,5
10006,NULL,2022,3,0,2,0,1,5,11,21,0,1,0,5,4,9,0,7,25,25,2
10006,NULL,2022,4,0,1,0,1,5,5,3,0,0,0,1,3,3,1,38,14,22,6
10007,NULL,2022,1,2,1,13,5,30,62,17,6,0,0,5,5,4,0,44,21,194,14
10007,NULL,2022,2,4,0,0,4,24,27,43,3,1,0,7,2,9,0,26,39,246,15
10007,NULL,2022,3,2,0,0,0,45,36,43,1,0,0,7,5,5,0,30,36,217,11
10007,NULL,2022,4,6,0,0,0,54,31,26,0,2,0,8,3,2,0,49,19,148,11
10009,99,2022,1,27,0,29,42,21,494,57,9,0,0,77,42,16,5,1014,333,584,125
10009,118,2022,2,27,5,0,28,43,333,149,14,0,0,127,41,20,9,398,343,704,165
10009,79,2022,3,18,1,0,29,54,456,136,14,0,0,98,60,29,8,352,387,645,155
10009,112,2022,4,14,1,0,32,26,335,133,7,0,1,72,50,6,12,900,212,353,93
10010,10,2022,1,10,3,17,13,27,204,61,1,0,0,25,12,13,3,288,179,249,60
10010,18,2022,2,18,4,0,5,15,149,97,4,0,1,25,22,15,2,223,193,239,56
10010,8,2022,3,14,11,0,7,26,186,124,6,1,0,23,14,12,4,145,149,201,60
10010,26,2022,4,3,4,0,9,27,124,98,3,0,0,21,11,9,4,211,69,124,34
10011,30,2022,1,20,3,30,27,31,557,66,15,0,0,64,61,17,82,555,301,360,92
10011,39,2022,2,52,0,0,9,59,412,178,7,0,1,67,24,25,81,289,394,484,128
10011,30,2022,3,13,2,0,30,67,474,260,7,0,0,95,43,15,80,244,374,444,116
10011,34,2022,4,50,2,0,8,96,467,157,16,8,0,62,26,10,77,445,242,274,76
10012,NULL,2022,1,11,3,30,10,59,380,39,6,0,0,25,18,8,0,349,218,264,39
10012,NULL,2022,2,24,0,0,10,49,287,46,1,2,0,49,18,26,6,149,297,298,59
10012,NULL,2022,3,18,0,0,17,46,294,69,3,1,0,47,20,15,0,115,312,361,44
10012,NULL,2022,4,17,3,0,13,43,379,40,5,1,0,32,21,11,1,382,217,258,39
10013,15,2022,1,8,1,23,16,44,354,100,6,0,0,26,29,21,3,318,252,308,76
10013,25,2022,2,18,5,0,5,49,210,186,9,2,0,37,15,19,2,154,244,320,49
